supplier_id,supplier_reliability,previous_delays,average_lead_time,demand,inventory_level,weather_risk,transportation_risk,distance,supplier_capacity,shipment_size,historical_disruptions,disrupted
SUP-032,96.3,11,14.9,606,1834,3.3,3.1,423.0,1657,386,2,0
SUP-031,84.5,4,17.4,1924,518,4.8,6.1,1016.0,3934,2191,6,1
SUP-013,79.1,12,10.8,1571,4066,1.4,4.2,487.0,8428,1516,0,0
SUP-020,78.5,2,23.1,5894,15367,1.9,5.6,435.0,9193,5271,3,1
SUP-030,81.2,10,17.0,1152,1107,1.9,4.0,1041.0,1588,1559,0,0
SUP-008,86.7,4,13.3,3897,1840,0.9,4.2,286.0,9236,4073,6,0
SUP-033,62.3,8,15.5,4583,10488,0.2,6.2,504.0,21838,3993,7,1
SUP-011,64.7,6,20.6,5248,7229,2.1,1.8,308.0,6034,4526,4,0
SUP-034,64.6,6,9.6,514,528,2.5,3.0,146.0,2529,491,2,0
SUP-040,80.5,1,18.1,1436,4590,2.4,6.8,424.0,6463,783,6,0
SUP-030,81.2,10,11.4,14282,41426,1.8,0.4,215.0,21097,9080,0,0
SUP-014,88.6,5,11.3,11974,5445,1.8,1.8,258.0,58556,6951,4,0
SUP-015,68.5,13,18.8,8154,14109,2.5,1.0,740.0,8193,10090,6,1
SUP-031,84.5,4,14.1,1487,786,6.8,3.6,1086.0,8082,1231,6,1
SUP-002,68.3,6,18.3,4518,9804,1.6,4.4,660.0,10368,4896,5,0
SUP-040,80.5,1,18.7,812,1533,3.6,6.2,171.0,1471,863,6,0
SUP-008,86.7,4,11.5,3416,11757,2.8,4.9,988.0,19478,2572,6,0
SUP-038,70.2,2,17.1,3666,3548,4.4,7.6,1421.0,14726,2088,4,0
SUP-035,69.9,7,22.5,3227,3688,0.6,5.5,620.0,7444,4306,3,1
SUP-032,96.3,11,18.3,6743,19182,2.7,2.9,452.0,27480,3418,2,0
SUP-034,64.6,6,22.3,8240,2144,2.8,2.9,711.0,36944,6753,2,0
SUP-007,85.3,1,8.7,3372,8629,5.6,2.0,276.0,13232,3781,0,0
SUP-028,47.3,9,12.7,996,1769,2.4,4.9,425.0,5028,1166,1,0
SUP-038,70.2,2,17.3,5309,13156,2.2,4.8,252.0,20128,5051,4,0
SUP-026,55.3,11,7.8,5718,8458,5.9,4.6,397.0,15925,7374,6,1
SUP-010,68.9,12,25.6,3980,10735,4.2,1.8,839.0,13551,4725,5,1
SUP-006,96.7,10,12.8,1130,364,2.8,7.5,1037.0,3410,1196,4,1
SUP-038,70.2,2,11.3,2763,5275,3.4,1.8,816.0,7774,2175,4,0
SUP-028,47.3,9,18.5,855,686,4.0,1.3,720.0,2120,535,1,1
SUP-028,47.3,9,21.3,4537,1386,3.2,2.3,440.0,13710,3445,1,1
SUP-010,68.9,12,17.0,3300,10913,2.9,2.2,770.0,4209,2160,5,0
SUP-035,69.9,7,18.6,1732,1619,1.3,2.2,171.0,7564,2083,3,0
SUP-007,85.3,1,15.9,4839,5856,,4.5,1424.0,27072,3960,0,0
SUP-026,55.3,11,20.6,2112,3500,2.2,2.5,449.0,3370,1634,6,0
SUP-009,51.8,11,18.7,1320,1632,4.2,1.9,110.0,2025,977,4,0
SUP-014,88.6,5,20.9,1577,2642,1.4,3.2,149.0,5790,1369,4,0
SUP-039,57.0,3,13.9,6338,13280,5.2,2.3,685.0,9688,3925,4,0
SUP-014,88.6,5,10.4,2111,1997,3.2,3.5,465.0,4724,2707,4,0
SUP-040,80.5,1,14.6,14765,20397,3.8,2.4,880.0,64344,9870,6,0
SUP-018,48.4,10,20.7,2085,3814,3.4,4.9,152.0,7396,2834,0,0
SUP-029,53.2,7,15.3,1267,1369,1.5,4.6,707.0,4194,1068,6,0
SUP-017,74.4,3,4.2,1594,5189,1.6,5.8,543.0,1756,1404,4,0
SUP-008,86.7,4,10.9,4067,4650,0.7,1.7,2164.0,4767,2166,6,0
SUP-003,90.5,2,4.0,8049,13021,4.4,4.2,184.0,46902,11122,5,0
SUP-006,96.7,10,12.6,4407,9982,3.4,3.9,257.0,9440,2776,4,0
SUP-013,79.1,12,19.1,3531,5101,1.7,3.9,841.0,3348,4838,0,0
SUP-020,78.5,2,20.4,1864,6406,3.7,1.1,4478.0,2166,1163,3,0
SUP-025,86.3,11,13.8,1005,1109,4.9,1.1,578.0,5788,858,7,1
SUP-013,79.1,12,7.5,3157,9193,2.3,5.9,346.0,16593,2243,0,0
SUP-025,86.3,11,11.8,10517,2142,4.6,3.9,1031.0,59851,14480,7,1
SUP-002,68.3,6,9.8,17620,36542,1.1,5.5,325.0,98314,19114,5,0
SUP-003,90.5,2,19.0,4806,5621,0.7,3.9,144.0,24746,5897,5,0
SUP-019,88.9,9,15.7,2424,2379,2.0,2.4,212.0,3462,1288,2,1
SUP-023,96.4,12,12.3,7964,1609,0.3,1.7,603.0,33077,9129,2,0
SUP-021,85.2,12,14.0,2093,4500,3.2,3.7,163.0,9833,2017,7,1
SUP-012,94.1,12,9.8,2502,8171,2.6,2.9,720.0,12832,1909,4,0
SUP-037,51.9,0,18.0,13352,13694,0.3,4.6,2162.0,47391,12233,1,1
SUP-002,68.3,6,9.2,763,261,4.1,0.8,351.0,2818,1064,5,0
SUP-034,64.6,6,12.3,1326,536,0.8,3.3,371.0,3784,1652,2,0
SUP-031,84.5,4,15.3,1114,2885,5.8,5.5,852.0,1331,832,6,1
SUP-040,80.5,1,13.9,2452,4282,2.0,4.4,519.0,14200,3336,6,0
SUP-036,55.0,8,14.9,680,549,1.6,4.5,1472.0,3537,694,5,0
SUP-003,90.5,2,12.8,2709,3266,0.8,3.2,447.0,14889,2422,5,0
SUP-039,57.0,3,18.2,7657,23399,1.2,0.9,425.0,12405,7981,4,0
SUP-036,55.0,8,14.5,2911,2705,5.0,3.1,266.0,12792,2298,5,0
SUP-028,47.3,9,19.0,4660,7833,1.8,0.2,828.0,8634,5262,1,0
SUP-033,62.3,8,19.3,6045,15110,2.0,5.8,1737.0,25078,6867,7,0
SUP-006,96.7,10,11.2,12212,8270,2.5,1.8,181.0,31350,9888,4,0
SUP-016,57.0,4,21.9,9169,30683,2.2,4.4,300.0,10531,9350,2,0
SUP-006,96.7,10,11.0,4716,11175,3.8,6.0,578.0,7942,5056,4,0
SUP-003,90.5,2,11.1,1664,2707,3.1,3.6,605.0,8237,911,5,0
SUP-036,55.0,8,18.0,2295,1493,0.1,4.2,695.0,11089,1564,5,0
SUP-012,94.1,12,16.0,9297,2714,0.5,4.6,493.0,8967,7241,4,1
SUP-031,84.5,4,8.7,1932,4300,1.0,3.7,,10454,1067,6,0
SUP-030,81.2,10,10.9,6115,15318,1.3,1.2,159.0,24250,5479,0,0
SUP-002,68.3,6,17.8,6251,20720,4.0,4.8,183.0,26208,6283,5,0
SUP-014,88.6,5,13.1,1450,2776,0.3,3.7,569.0,5935,1262,4,0
SUP-038,70.2,2,16.1,996,1588,5.2,5.4,777.0,3086,962,4,1
SUP-040,80.5,1,18.3,5992,4319,0.6,3.1,942.0,11539,3805,6,0
SUP-031,84.5,4,20.3,1954,3837,3.0,3.2,219.0,1784,1862,6,1
SUP-017,74.4,3,10.8,2303,6096,5.6,4.7,872.0,5198,1776,4,1
SUP-037,51.9,0,17.5,1726,2866,2.8,3.9,313.0,3113,1946,1,1
SUP-037,51.9,0,15.1,9841,28306,3.2,2.2,295.0,55329,6331,1,0
SUP-014,88.6,5,16.7,4336,4223,4.2,7.6,365.0,5174,4483,4,1
SUP-036,55.0,8,26.9,2818,5577,1.0,4.0,686.0,9883,3447,5,0
SUP-026,55.3,11,16.2,4970,15660,1.6,4.3,771.0,25633,3081,6,0
SUP-004,82.0,12,22.9,1448,1686,4.3,7.0,509.0,8477,1646,3,1
SUP-039,57.0,3,20.3,2557,1531,2.6,4.0,625.0,3341,2509,4,0
SUP-033,62.3,8,15.1,4834,6699,1.5,3.7,409.0,24692,3565,7,0
SUP-016,57.0,4,16.6,2627,8059,1.5,2.3,468.0,14107,3272,2,0
SUP-009,51.8,11,14.6,2153,3613,3.8,1.6,453.0,5938,2050,4,0
SUP-005,50.0,9,16.8,1130,1050,3.2,3.7,492.0,3073,1001,6,1
SUP-031,84.5,4,25.2,8076,11275,0.7,7.1,467.0,23134,5350,6,0
SUP-018,48.4,10,18.3,593,254,5.7,4.9,1016.0,3134,326,0,1
SUP-011,64.7,6,20.9,1902,1112,3.1,2.4,370.0,3677,1093,4,0
SUP-037,51.9,0,14.6,6068,5149,5.4,5.3,96.0,11662,3289,1,0
SUP-018,48.4,10,18.6,5387,15644,3.3,4.8,263.0,18276,2857,0,0
SUP-018,48.4,10,23.3,6110,4726,4.8,2.0,2395.0,16599,5562,0,1
SUP-004,82.0,12,8.2,2154,5113,,3.2,578.0,8459,2657,3,0
SUP-001,86.0,14,13.9,9687,5028,,1.8,767.0,48051,10365,3,0
SUP-038,70.2,2,6.6,12772,9573,3.0,1.2,1040.0,43060,7304,4,0
SUP-029,53.2,7,15.0,8249,21647,0.4,1.0,233.0,10804,9770,6,0
SUP-029,53.2,7,19.8,730,2525,1.6,1.7,88.0,2712,583,6,0
SUP-006,96.7,10,8.8,10505,4866,0.8,3.0,455.0,54418,13804,4,0
SUP-018,48.4,10,24.2,3570,1036,1.7,3.8,337.0,12348,1901,0,0
SUP-010,68.9,12,20.5,1624,1825,2.2,4.2,397.0,2791,1547,5,1
SUP-013,79.1,12,16.1,2534,5706,2.8,5.9,563.0,5626,1382,0,0
SUP-009,51.8,11,20.5,4230,11245,1.0,2.8,266.0,20203,5018,4,0
SUP-002,68.3,6,16.1,3940,11532,3.1,3.9,899.0,13265,5291,5,1
SUP-002,68.3,6,12.8,5976,8486,1.2,0.9,393.0,34029,6422,5,0
SUP-022,63.8,2,11.2,884,2067,2.7,3.1,311.0,4279,1214,1,0
SUP-026,55.3,11,19.9,8782,5408,3.1,0.8,659.0,13588,9869,6,0
SUP-033,62.3,8,17.3,1229,4180,1.3,3.5,1605.0,2205,1330,7,1
SUP-033,62.3,8,21.1,3454,965,3.1,5.8,327.0,10507,2255,7,1
SUP-033,62.3,8,17.6,1267,2628,,5.1,282.0,2498,1118,7,1
SUP-039,57.0,3,21.8,2185,4657,0.5,0.8,416.0,5543,2406,4,0
SUP-024,92.3,0,11.4,9323,8768,,3.7,2115.0,9686,7616,3,0
SUP-018,48.4,10,16.0,4722,4328,2.4,8.3,446.0,11528,4297,0,1
SUP-014,88.6,5,11.6,1541,588,2.5,3.0,702.0,2073,1178,4,0
SUP-030,81.2,10,6.6,1305,4119,3.6,2.2,264.0,7431,1437,0,0
SUP-016,57.0,4,19.9,2418,6670,3.8,3.4,275.0,12351,1599,2,0
SUP-037,51.9,0,15.5,8605,22983,4.9,3.1,249.0,26906,9419,1,0
SUP-002,68.3,6,15.3,3981,13224,0.7,1.6,697.0,9422,4061,5,0
SUP-012,94.1,12,13.6,4920,7879,2.6,0.9,365.0,9928,3980,4,0
SUP-035,69.9,7,7.6,977,2549,3.0,1.3,618.0,3384,974,3,0
SUP-016,57.0,4,20.3,5575,18939,2.7,0.6,724.0,25043,7263,2,0
SUP-037,51.9,0,16.9,2391,1764,1.3,3.5,811.0,14154,3023,1,0
SUP-034,64.6,6,15.5,12216,33995,6.2,6.5,345.0,23057,7920,2,1
SUP-007,85.3,1,15.1,7857,19330,0.4,4.2,848.0,37796,10381,0,0
SUP-020,78.5,2,19.6,5370,16192,3.5,4.3,150.0,22953,7003,3,0
SUP-037,51.9,0,19.3,6348,2715,4.2,4.3,838.0,24804,8246,1,0
SUP-013,79.1,12,17.6,1336,3541,3.8,5.7,398.0,5275,1373,0,1
SUP-036,55.0,8,19.8,10615,25812,1.3,1.7,1485.0,42759,8350,5,0
SUP-019,88.9,9,9.4,3909,5340,3.6,1.2,278.0,10948,3676,2,0
SUP-007,85.3,1,21.5,2194,1541,1.0,5.1,2246.0,7143,2549,0,0
SUP-025,86.3,11,12.8,4638,7639,2.6,3.9,994.0,7033,5096,7,0
SUP-019,88.9,9,17.2,5490,12947,4.4,1.7,261.0,18519,6083,2,0
SUP-035,69.9,7,19.2,3561,7734,3.7,3.4,635.0,20083,4438,3,1
SUP-009,51.8,11,16.6,5045,4255,4.3,3.3,1380.0,7704,2927,4,1
SUP-020,78.5,2,16.3,2797,5977,1.9,5.9,2673.0,7325,3198,3,0
SUP-029,53.2,7,20.3,3104,1438,4.9,3.9,1013.0,18011,1916,6,0
SUP-002,68.3,6,16.1,8514,16334,2.5,3.5,221.0,33992,7660,5,0
SUP-013,79.1,12,17.3,3056,2685,2.7,3.4,482.0,10907,1822,0,0
SUP-035,69.9,7,18.6,3592,8010,0.6,4.3,1848.0,5862,1835,3,0
SUP-007,85.3,1,21.4,2569,5061,3.4,2.2,472.0,14128,2964,0,0
SUP-002,68.3,6,22.8,3249,7624,2.8,3.3,301.0,17623,4542,5,0
SUP-029,53.2,7,13.3,2805,6480,2.9,4.7,761.0,6261,2177,6,0
SUP-024,92.3,0,19.3,1359,1655,5.3,7.9,159.0,2160,864,3,0
SUP-006,96.7,10,13.1,1645,664,2.8,1.7,834.0,8348,1143,4,0
SUP-037,51.9,0,21.2,2026,1711,4.2,5.1,328.0,9896,2719,1,1
SUP-015,68.5,13,23.1,7575,22406,3.4,2.9,312.0,27051,5755,6,1
SUP-024,92.3,0,13.2,3443,11960,4.5,5.2,989.0,20647,3321,3,0
SUP-034,64.6,6,9.2,2259,7087,0.2,3.1,1115.0,3436,2241,2,0
SUP-031,84.5,4,6.4,657,1124,4.8,1.7,510.0,1683,526,6,0
SUP-015,68.5,13,12.3,538,1302,4.5,6.2,303.0,2250,270,6,1
SUP-030,81.2,10,13.2,8356,8770,5.5,2.7,481.0,39374,7969,0,0
SUP-004,82.0,12,13.4,2016,4167,4.6,4.9,1219.0,3158,2306,3,0
SUP-022,63.8,2,18.3,4149,9740,4.6,5.3,427.0,15941,2652,1,0
SUP-026,55.3,11,15.9,2944,8498,1.6,1.7,129.0,8059,3096,6,0
SUP-017,74.4,3,14.1,2324,4249,3.8,4.3,267.0,3929,2936,4,1
SUP-016,57.0,4,13.3,2649,2595,4.5,3.9,274.0,14985,2147,2,0
SUP-023,96.4,12,12.0,6391,12008,1.0,4.7,568.0,33011,7852,2,1
SUP-032,96.3,11,7.9,2284,5556,1.6,4.6,90.0,8781,1811,2,0
SUP-029,53.2,7,17.3,7171,8493,3.7,1.4,903.0,30252,5909,6,0
SUP-019,88.9,9,11.9,4162,5155,1.2,4.2,717.0,15537,4615,2,0
SUP-014,88.6,5,12.4,3173,5070,0.5,4.8,1361.0,6610,2579,4,0
SUP-008,86.7,4,10.6,4874,3049,3.8,2.9,377.0,5128,5596,6,0
SUP-030,81.2,10,17.2,2887,7432,4.3,4.6,220.0,8534,3408,0,0
SUP-010,68.9,12,15.0,3361,3970,1.2,4.1,106.0,8452,4499,5,1
SUP-033,62.3,8,12.1,7499,9360,1.3,2.7,1450.0,23364,9229,7,0
SUP-007,85.3,1,16.6,7801,11614,2.5,4.8,537.0,29842,9917,0,0
SUP-038,70.2,2,13.8,1126,1099,0.8,4.2,426.0,4744,1250,4,0
SUP-019,88.9,9,2.9,6615,16053,1.9,4.3,385.0,14355,5422,2,0
SUP-039,57.0,3,22.2,9384,28372,2.0,3.1,1034.0,21490,7349,4,1
SUP-001,86.0,14,20.8,725,2049,2.9,5.5,403.0,3602,978,3,1
SUP-027,69.7,11,21.1,4077,1872,5.2,1.8,290.0,4345,3803,0,0
SUP-034,64.6,6,9.7,4587,5050,3.0,3.1,1509.0,9275,3528,2,0
SUP-009,51.8,11,10.9,3415,8944,2.2,0.6,623.0,9804,2423,4,0
SUP-024,92.3,0,12.4,2161,5299,0.9,3.1,688.0,3407,2950,3,0
SUP-010,68.9,12,18.2,2523,3423,3.6,3.8,1937.0,2907,3065,5,1
SUP-004,82.0,12,12.5,2575,5121,2.6,2.7,839.0,2243,3510,3,0
SUP-010,68.9,12,12.3,2174,7054,4.7,1.9,301.0,8758,2133,5,1
SUP-038,70.2,2,21.6,5261,6180,0.6,2.0,465.0,24018,3321,4,0
SUP-008,86.7,4,6.3,1493,2244,1.8,3.0,1454.0,3670,907,6,0
SUP-037,51.9,0,13.6,4384,10881,1.6,2.7,393.0,25214,3430,1,0
SUP-023,96.4,12,6.8,8770,28792,2.9,4.4,223.0,42682,7029,2,0
SUP-016,57.0,4,21.7,4043,3799,1.5,5.3,144.0,23472,2613,2,0
SUP-004,82.0,12,21.0,2190,2224,6.8,2.7,1306.0,8843,2544,3,1
SUP-033,62.3,8,13.2,1251,2844,4.1,4.1,317.0,3167,1490,7,1
SUP-014,88.6,5,12.5,11051,27050,0.7,0.7,1004.0,26108,9342,4,0
SUP-035,69.9,7,14.9,1297,4532,3.9,2.3,535.0,6691,907,3,1
SUP-005,50.0,9,22.2,6654,5257,4.4,5.6,632.0,31582,5443,6,1
SUP-007,85.3,1,15.9,2309,2399,4.1,1.2,419.0,4755,3020,0,0
SUP-020,78.5,2,10.2,390,1255,2.9,5.0,1566.0,926,249,3,0
SUP-015,68.5,13,17.0,3139,8371,4.6,3.2,162.0,15788,2439,6,1
SUP-035,69.9,7,17.4,3151,9854,0.9,3.0,277.0,17400,4297,3,0
SUP-030,81.2,10,16.9,6763,21283,3.5,3.3,1571.0,5797,4468,0,0
SUP-039,57.0,3,26.3,5517,11087,1.4,5.7,1225.0,24665,6632,4,1
SUP-034,64.6,6,15.3,10081,30636,1.0,4.0,356.0,48986,14061,2,0
SUP-036,55.0,8,12.9,5852,2451,3.2,4.8,139.0,8226,6171,5,1
SUP-013,79.1,12,13.7,1219,1467,3.7,3.4,386.0,1444,1058,0,0
SUP-040,80.5,1,8.7,4213,6357,8.2,1.8,290.0,24114,5461,6,0
SUP-031,84.5,4,12.1,1490,5028,2.1,9.1,421.0,6247,891,6,1
SUP-024,92.3,0,14.6,3234,5280,2.9,3.2,505.0,4092,2658,3,0
SUP-039,57.0,3,20.3,2006,2612,3.1,0.8,323.0,2145,2231,4,0
SUP-032,96.3,11,9.2,1150,2366,4.6,6.3,371.0,2827,1536,2,0
SUP-034,64.6,6,18.1,2859,3807,2.6,4.3,1120.0,6953,2159,2,0
SUP-027,69.7,11,14.5,3142,5346,2.2,6.5,657.0,12611,2872,0,1
SUP-029,53.2,7,12.9,1173,2400,1.6,5.2,75.0,2407,1109,6,0
SUP-012,94.1,12,8.2,1236,1609,1.8,4.4,740.0,1589,929,4,0
SUP-025,86.3,11,16.2,4778,4247,2.5,3.9,460.0,12113,4173,7,0
SUP-006,96.7,10,10.4,2584,4613,1.5,6.6,353.0,11696,2990,4,0
SUP-040,80.5,1,13.5,3762,6489,1.3,3.7,704.0,9693,5084,6,0
SUP-036,55.0,8,11.8,3883,5135,3.7,6.1,240.0,19699,2492,5,1
SUP-033,62.3,8,22.6,7163,17153,2.6,6.7,1430.0,20909,8394,7,0
SUP-015,68.5,13,21.6,2439,1788,2.6,4.6,219.0,4588,2527,6,1
SUP-026,55.3,11,11.3,5073,12217,5.1,2.5,1112.0,21607,5104,6,1
SUP-010,68.9,12,18.9,542,1067,4.3,6.0,405.0,3154,741,5,1
SUP-026,55.3,11,17.2,4545,911,1.5,4.0,602.0,6789,2458,6,1
SUP-032,96.3,11,11.2,5608,14469,1.5,2.3,1060.0,10951,3780,2,0
SUP-021,85.2,12,16.0,3490,11924,2.7,2.8,193.0,15969,2583,7,1
SUP-028,47.3,9,22.8,3921,2321,4.6,3.5,299.0,13576,2545,1,0
SUP-017,74.4,3,20.0,5792,16088,3.3,7.3,729.0,16913,5400,4,0
SUP-033,62.3,8,11.4,1622,3414,0.8,4.0,604.0,7678,1916,7,0
SUP-035,69.9,7,12.0,5266,15618,6.6,5.4,976.0,19709,5666,3,0
SUP-002,68.3,6,16.3,6602,16999,0.4,3.2,530.0,37805,5838,5,0
SUP-008,86.7,4,10.3,6232,16985,4.4,3.9,465.0,15578,8410,6,0
SUP-026,55.3,11,17.2,1546,4033,3.1,4.4,1050.0,5448,1144,6,1
SUP-012,94.1,12,3.6,1204,1905,4.9,5.0,1382.0,7197,1088,4,1
SUP-009,51.8,11,16.1,2599,2504,2.8,6.3,454.0,5026,3021,4,0
SUP-018,48.4,10,16.0,4722,4328,2.4,8.3,446.0,11528,4297,0,1
SUP-030,81.2,10,10.8,5680,13995,5.6,0.6,498.0,31155,5581,0,0
SUP-040,80.5,1,10.6,1158,927,3.4,2.2,972.0,6913,953,6,0
SUP-036,55.0,8,10.5,5734,6441,0.9,1.8,823.0,20066,3473,5,0
SUP-039,57.0,3,24.4,17549,37873,4.4,2.2,619.0,18221,11279,4,1
SUP-011,64.7,6,18.0,3272,9659,3.4,3.7,522.0,13185,2301,4,1
SUP-026,55.3,11,16.6,2954,669,0.2,5.0,147.0,2457,3978,6,1
SUP-040,80.5,1,10.3,3157,8958,3.4,2.0,684.0,10604,3282,6,0
SUP-015,68.5,13,15.2,4362,9343,1.8,2.8,209.0,16411,3284,6,1
SUP-018,48.4,10,18.9,1926,1155,1.4,1.1,299.0,8571,2010,0,0
SUP-016,57.0,4,15.8,3107,10816,1.1,6.9,769.0,15642,2913,2,0
SUP-005,50.0,9,17.7,27471,7907,1.8,2.9,700.0,30653,36469,6,0
SUP-033,62.3,8,21.3,6815,11507,2.0,3.9,891.0,12192,5806,7,1
SUP-006,96.7,10,15.1,915,500,3.1,3.3,477.0,2412,976,4,0
SUP-023,96.4,12,13.3,3390,6564,4.0,3.0,1364.0,17322,3357,2,0
SUP-030,81.2,10,6.8,1241,3254,5.4,4.3,463.0,3701,1276,0,0
SUP-020,78.5,2,17.5,1012,3030,2.9,3.3,289.0,2948,1279,3,0
SUP-005,50.0,9,24.4,2243,5499,3.1,4.3,373.0,3193,1270,6,1
SUP-017,74.4,3,12.7,25459,18551,1.7,1.3,498.0,85096,31993,4,0
SUP-020,78.5,2,15.0,4778,16567,1.2,3.7,738.0,9850,3568,3,0
SUP-015,68.5,13,12.9,2095,877,0.5,5.3,237.0,10989,2701,6,0
SUP-023,96.4,12,17.4,11994,36564,5.1,2.5,599.0,15539,7640,2,0
SUP-011,64.7,6,10.4,4559,12296,2.5,1.5,1147.0,25528,6261,4,1
SUP-004,82.0,12,15.6,1480,2035,3.2,3.3,273.0,4560,1035,3,0
SUP-001,86.0,14,17.1,20416,52037,,3.8,725.0,80815,25443,3,0
SUP-005,50.0,9,12.4,2184,1267,1.2,4.5,205.0,12852,1641,6,1
SUP-023,96.4,12,22.6,4253,1010,5.0,5.7,229.0,24834,3639,2,0
SUP-029,53.2,7,18.1,699,626,3.0,3.4,221.0,3600,777,6,0
SUP-014,88.6,5,14.0,2511,8759,5.6,2.1,1353.0,14769,2452,4,1
SUP-014,88.6,5,15.4,1336,2224,3.3,1.7,506.0,7020,1273,4,0
SUP-034,64.6,6,10.3,5350,17556,3.2,2.8,681.0,8395,7390,2,0
SUP-014,88.6,5,18.9,4043,2826,2.2,5.5,537.0,21227,3975,4,0
SUP-026,55.3,11,8.7,2082,6210,2.0,1.0,71.0,8441,1821,6,0
SUP-007,85.3,1,11.5,1352,3285,3.6,2.0,470.0,4347,1845,0,0
SUP-025,86.3,11,11.4,2838,2075,,5.2,1775.0,12219,1572,7,1
SUP-014,88.6,5,14.6,644,353,1.9,5.6,675.0,1271,809,4,0
SUP-003,90.5,2,9.0,1001,1076,7.2,3.0,637.0,5803,741,5,0
SUP-036,55.0,8,16.0,3274,3167,0.9,3.6,878.0,19217,3908,5,0
SUP-036,55.0,8,23.2,5933,2388,3.3,5.1,510.0,22339,3047,5,1
SUP-040,80.5,1,9.9,3204,3930,3.1,2.2,532.0,14492,1829,6,0
SUP-021,85.2,12,17.6,9003,12931,1.6,3.1,549.0,11591,9298,7,0
SUP-022,63.8,2,14.0,2902,8737,0.9,1.8,1814.0,5968,3066,1,0
SUP-039,57.0,3,14.3,5777,12825,5.8,1.2,376.0,27253,7755,4,0
SUP-021,85.2,12,12.6,3056,6182,2.7,1.9,793.0,11185,2409,7,0
SUP-031,84.5,4,10.7,2219,748,1.7,5.6,745.0,1967,2292,6,0
SUP-031,84.5,4,13.6,1356,4262,1.3,5.1,183.0,7875,1664,6,0
SUP-030,81.2,10,9.0,8248,13805,2.4,1.5,480.0,28565,5722,0,0
SUP-004,82.0,12,15.3,3581,8752,1.3,5.7,588.0,4124,2380,3,0
SUP-005,50.0,9,16.8,1130,1050,3.2,3.7,492.0,3073,1001,6,1
SUP-025,86.3,11,9.6,2098,2330,2.6,5.3,752.0,4236,2888,7,1
SUP-020,78.5,2,11.5,4326,8834,1.7,3.1,248.0,3788,2775,3,0
SUP-021,85.2,12,9.8,1866,3653,1.7,4.9,896.0,5256,2297,7,0
SUP-026,55.3,11,16.2,2348,1464,1.9,5.5,554.0,13797,1600,6,0
SUP-037,51.9,0,19.5,6440,15136,2.9,4.2,573.0,8914,5815,1,0
SUP-007,85.3,1,9.3,5008,11842,3.3,1.3,106.0,16459,6014,0,0
SUP-032,96.3,11,12.8,3849,11643,3.3,2.2,836.0,9302,3115,2,0
SUP-012,94.1,12,15.6,1655,1022,1.5,4.6,1782.0,5163,1710,4,0
SUP-019,88.9,9,8.1,5004,2966,5.2,0.8,287.0,10372,3982,2,0
SUP-008,86.7,4,14.5,1054,2360,2.1,0.8,269.0,4246,1345,6,0
SUP-035,69.9,7,10.2,7773,7822,2.5,2.2,104.0,37062,8354,3,0
SUP-036,55.0,8,13.7,4123,4702,0.5,3.9,508.0,24327,3827,5,0
SUP-025,86.3,11,14.7,3639,11273,2.2,7.7,207.0,12428,4966,7,1
SUP-033,62.3,8,16.1,9521,14092,0.4,5.3,230.0,50918,7054,7,0
SUP-009,51.8,11,19.1,4480,5168,2.9,1.1,480.0,7140,3489,4,0
SUP-013,79.1,12,9.7,9139,22581,3.9,3.8,1936.0,39704,8216,0,0
SUP-008,86.7,4,12.0,1609,1237,1.9,4.2,3572.0,8561,2210,6,1
SUP-013,79.1,12,20.3,2195,7237,3.4,2.7,1310.0,10581,2300,0,0
SUP-032,96.3,11,10.9,3900,4744,7.5,1.0,2183.0,12103,4662,2,0
SUP-012,94.1,12,14.9,4106,5434,3.1,7.3,1886.0,17779,3850,4,1
SUP-017,74.4,3,15.5,706,1936,2.9,7.9,214.0,1971,504,4,1
SUP-019,88.9,9,12.2,1562,2257,1.6,5.5,1396.0,8119,1941,2,0
SUP-034,64.6,6,12.1,1878,3347,8.5,4.2,280.0,9218,1506,2,1
SUP-035,69.9,7,16.8,1227,2447,2.9,2.3,1717.0,7179,1338,3,0
SUP-038,70.2,2,16.4,6717,3453,0.8,3.3,683.0,5393,5969,4,0
SUP-022,63.8,2,20.1,5911,1400,1.1,1.1,628.0,30132,3155,1,0
SUP-015,68.5,13,19.8,2652,8128,1.6,2.3,685.0,9527,2890,6,0
SUP-034,64.6,6,8.5,1848,1672,5.0,2.7,538.0,6186,2041,2,0
SUP-040,80.5,1,11.7,13133,28852,4.3,3.6,1329.0,27307,7153,6,0
SUP-037,51.9,0,17.3,1186,289,1.7,4.9,1946.0,5299,681,1,1
SUP-026,55.3,11,22.5,8394,4193,2.0,2.0,246.0,37407,9430,6,1
SUP-037,51.9,0,20.5,868,449,4.1,6.0,1465.0,3021,834,1,1
SUP-037,51.9,0,21.7,1736,5614,,6.4,107.0,2112,2210,1,0
SUP-031,84.5,4,13.8,3764,3698,4.0,3.1,427.0,9341,4796,6,0
SUP-005,50.0,9,14.2,4124,9777,2.6,5.3,983.0,6025,2879,6,1
SUP-015,68.5,13,21.4,4872,7423,4.4,5.4,1184.0,27077,3967,6,1
SUP-026,55.3,11,23.9,7223,16844,1.4,1.0,310.0,39088,7599,6,0
SUP-031,84.5,4,19.2,2891,4288,3.8,0.4,1017.0,14141,1453,6,1
